frame_id,time_ms,annotation_id,class,area_px,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,R_px
frame_00027_t54.00ms,0.0,11,,69576,96.0,3183.0,0.0,2944.0,192.0,478.0,148.81776991046272
frame_00027_t54.00ms,0.0,13,,67492,4558.0,1040.0,4412.0,886.0,292.0,308.0,146.57206704661158
frame_00027_t54.00ms,0.0,14,,66392,4548.0,2407.0,4392.0,2264.0,312.0,286.0,145.37272771573845
frame_00027_t54.00ms,0.0,20,,52848,94.0,323.0,0.0,144.0,188.0,358.0,129.6998105821322
frame_00027_t54.00ms,0.0,22,,51032,98.0,698.0,0.0,540.0,196.0,316.0,127.45191293868918
frame_00027_t54.00ms,0.0,26,,42028,4615.0,1402.0,4526.0,1250.0,178.0,304.0,115.66299277008336
frame_00027_t54.00ms,0.0,27,,40964,4483.0,3335.0,4330.0,3246.0,306.0,178.0,114.18951868552911
frame_00027_t54.00ms,0.0,29,,40212,4617.0,2765.0,4530.0,2618.0,174.0,294.0,113.13654203316712
frame_00027_t54.00ms,0.0,31,,34532,4620.0,3148.0,4536.0,2976.0,168.0,344.0,104.84215273304274
frame_00027_t54.00ms,0.0,33,,29544,4598.0,89.0,4492.0,0.0,212.0,178.0,96.9749827399516
frame_00027_t54.00ms,0.0,37,,4748,89.0,587.0,0.0,540.0,178.0,94.0,38.875896640471694
frame_00027_t54.00ms,0.0,50,,1368,2535.0,2464.0,2510.0,2446.0,50.0,36.0,20.867389014906145
frame_00028_t56.00ms,0.0,1,,15982672,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2255.5359685078975
frame_00028_t56.00ms,0.0,2,,120284,4579.0,2971.0,4454.0,2614.0,250.0,714.0,195.67213994263741
frame_00028_t56.00ms,0.0,12,,67284,4557.0,1038.0,4410.0,884.0,294.0,308.0,146.3460364409989
frame_00028_t56.00ms,0.0,13,,66212,4547.0,2408.0,4390.0,2266.0,314.0,284.0,145.1755288745357
frame_00028_t56.00ms,0.0,14,,65760,96.0,3183.0,0.0,2944.0,192.0,478.0,144.6791557738919
frame_00028_t56.00ms,0.0,19,,52900,93.0,323.0,0.0,144.0,186.0,358.0,129.76360421598395
frame_00028_t56.00ms,0.0,20,,51120,4596.0,256.0,4488.0,0.0,216.0,512.0,127.5617551686844
frame_00028_t56.00ms,0.0,21,,50892,99.0,697.0,0.0,540.0,198.0,314.0,127.27696856723716
frame_00028_t56.00ms,0.0,26,,42260,4615.0,1402.0,4526.0,1250.0,178.0,304.0,115.98179076961605
frame_00028_t56.00ms,0.0,27,,41076,4482.0,3335.0,4330.0,3246.0,304.0,178.0,114.34551536848913
frame_00028_t56.00ms,0.0,29,,40168,4617.0,2766.0,4530.0,2620.0,174.0,292.0,113.07462804816342
frame_00028_t56.00ms,0.0,32,,34528,4620.0,3148.0,4536.0,2976.0,168.0,344.0,104.83608038339628
frame_00028_t56.00ms,0.0,35,,29544,4598.0,89.0,4492.0,0.0,212.0,178.0,96.9749827399516
frame_00028_t56.00ms,0.0,39,,4688,88.0,584.0,0.0,538.0,176.0,92.0,38.62948027646257
frame_00028_t56.00ms,0.0,52,,1452,2535.0,2464.0,2510.0,2444.0,50.0,40.0,21.498510523728477
frame_00029_t58.00ms,0.0,1,,15985604,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2255.742846562779
