dataset,track_id_input,frame_idx,t_ms,det_id,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,R_px,score,R_mono,track_id,r_px,time_ms,x_um,y_um,r_um
FAPI,2,31,62.0,9,3905.0,480.0,3888.0,458.0,34.0,44.0,1192.0,19.47884453275087,1.0,19.47884453275087,2,19.47884453275087,62.0,253.82500000000002,31.200000000000003,1.2661248946288066
FAPI,9,31,62.0,4,4412.0,2858.0,4350.0,2812.0,124.0,92.0,7516.0,48.91234102511728,1.0,48.91234102511728,7,48.91234102511728,62.0,286.78000000000003,185.77,3.179302166632623
FAPI,8,31,62.0,3,4189.0,3307.0,4120.0,3244.0,138.0,126.0,13336.0,65.15351596151226,1.0,65.15351596151226,6,65.15351596151226,62.0,272.285,214.955,4.2349785374982964
FAPI,1,31,62.0,5,4517.0,3330.0,4336.0,3238.0,362.0,184.0,46672.0,121.88584416563673,1.0,121.88584416563673,4,121.88584416563673,62.0,293.605,216.45000000000002,7.922579870766388
FAPI,13,31,62.0,8,4665.0,3043.0,4626.0,2836.0,78.0,414.0,22960.0,85.48915128119961,1.0,85.48915128119961,10,85.48915128119961,62.0,303.225,197.79500000000002,5.556794833277975
FAPI,4,31,62.0,6,4503.0,3064.0,4422.0,2966.0,162.0,196.0,24012.0,87.42572268528971,1.0,87.42572268528971,3,87.42572268528971,62.0,292.695,199.16,5.682671974543831
FAPI,12,31,62.0,7,3620.0,2920.0,3560.0,2882.0,120.0,76.0,7072.0,47.44562693327772,1.0,47.44562693327772,9,47.44562693327772,62.0,235.3,189.8,3.0839657506630522
FAPI,5,31,62.0,1,4422.0,158.0,4256.0,6.0,332.0,304.0,70380.0,149.6751475349705,1.0,149.6751475349705,5,149.6751475349705,62.0,287.43,10.27,9.728884589773083
FAPI,11,31,62.0,0,515.0,363.0,474.0,312.0,82.0,102.0,5932.0,43.45358724941183,1.0,43.45358724941183,8,43.45358724941183,62.0,33.475,23.595000000000002,2.824483171211769
FAPI,8,32,64.0,8,4187.0,3304.0,4114.0,3234.0,146.0,140.0,15916.0,71.17738509176361,1.0,71.17738509176361,6,71.17738509176361,64.0,272.15500000000003,214.76000000000002,4.626530030964635
FAPI,9,32,64.0,6,4410.0,2859.0,4342.0,2808.0,136.0,102.0,8788.0,52.88957628666685,1.0,52.88957628666685,7,52.88957628666685,64.0,286.65000000000003,185.835,3.4378224586333457
FAPI,5,32,64.0,2,4422.0,159.0,4250.0,6.0,344.0,306.0,74172.0,153.65442030096017,1.0,153.65442030096017,5,153.65442030096017,64.0,287.43,10.335,9.987537319562412
FAPI,11,32,64.0,0,515.0,362.0,472.0,308.0,86.0,108.0,6660.0,46.04284789176323,1.0,46.04284789176323,8,46.04284789176323,64.0,33.475,23.53,2.99278511296461
FAPI,1,32,64.0,5,4517.0,3329.0,4330.0,3238.0,374.0,182.0,48600.0,124.37789380968078,1.0,124.37789380968078,4,124.37789380968078,64.0,293.605,216.38500000000002,8.084563097629252
FAPI,2,32,64.0,12,3906.0,480.0,3888.0,458.0,36.0,44.0,1224.0,19.738573927438622,1.0,19.738573927438622,2,19.738573927438622,64.0,253.89000000000001,31.200000000000003,1.2830073052835105
FAPI,12,32,64.0,10,3619.0,2920.0,3554.0,2880.0,130.0,80.0,8208.0,51.114455350678966,1.0,51.114455350678966,9,51.114455350678966,64.0,235.235,189.8,3.322439597794133
FAPI,4,32,64.0,7,4498.0,3064.0,4412.0,2964.0,172.0,200.0,26892.0,92.5202110852245,1.0,92.5202110852245,3,92.5202110852245,64.0,292.37,199.16,6.013813720539593
FAPI,13,32,64.0,11,4660.0,3041.0,4616.0,2832.0,88.0,418.0,24216.0,87.79631087822925,1.0,87.79631087822925,10,87.79631087822925,64.0,302.90000000000003,197.66500000000002,5.706760207084901
FAPI,13,33,66.0,14,4659.0,3040.0,4614.0,2830.0,90.0,420.0,24540.0,88.38169837104412,1.0,88.38169837104412,10,88.38169837104412,66.0,302.83500000000004,197.6,5.744810394117868
FAPI,1,33,66.0,8,4517.0,3329.0,4330.0,3238.0,374.0,182.0,48972.0,124.8530005494165,1.0,124.8530005494165,4,124.8530005494165,66.0,293.605,216.38500000000002,8.115445035712073
FAPI,2,33,66.0,17,3906.0,480.0,3888.0,458.0,36.0,44.0,1240.0,19.867165345562015,1.0,19.867165345562015,2,19.867165345562015,66.0,253.89000000000001,31.200000000000003,1.291365747461531
FAPI,8,33,66.0,6,4190.0,3302.0,4112.0,3226.0,156.0,152.0,17400.0,74.42171739215615,1.0,74.42171739215615,6,74.42171739215615,66.0,272.35,214.63,4.83741163049015
FAPI,12,33,66.0,12,3621.0,2915.0,3554.0,2868.0,134.0,94.0,9908.0,56.15883147207568,1.0,56.15883147207568,9,56.15883147207568,66.0,235.365,189.475,3.6503240456849193
FAPI,5,33,66.0,2,4421.0,164.0,4244.0,6.0,354.0,316.0,80044.0,159.62078977907402,1.0,159.62078977907402,5,159.62078977907402,66.0,287.365,10.66,10.375351335639811
FAPI,11,33,66.0,0,516.0,363.0,470.0,306.0,92.0,114.0,7408.0,48.559650295791066,1.0,48.559650295791066,8,48.559650295791066,66.0,33.54,23.595000000000002,3.1563772692264194
FAPI,4,33,66.0,5,4496.0,3063.0,4408.0,2962.0,176.0,202.0,27836.0,94.13009078829148,1.0,94.13009078829148,3,94.13009078829148,66.0,292.24,199.095,6.118455901238947
FAPI,9,33,66.0,7,4408.0,2861.0,4338.0,2806.0,140.0,110.0,9476.0,54.9208929413716,1.0,54.9208929413716,7,54.9208929413716,66.0,286.52,185.965,3.569858041189154
FAPI,1,34,68.0,10,4517.0,3329.0,4330.0,3236.0,374.0,186.0,49900.0,126.03040633343667,1.0,126.03040633343667,4,126.03040633343667,68.0,293.605,216.38500000000002,8.191976411673384
FAPI,4,34,68.0,8,4495.0,3063.0,4404.0,2960.0,182.0,206.0,29172.0,96.3625238344946,1.0,96.3625238344946,3,96.3625238344946,68.0,292.175,199.095,6.263564049242149
FAPI,5,34,68.0,3,4423.0,165.0,4242.0,6.0,362.0,318.0,83744.0,163.26831630348664,1.0,163.26831630348664,5,163.26831630348664,68.0,287.495,10.725,10.612440559726632
FAPI,2,34,68.0,21,3906.0,480.0,3888.0,458.0,36.0,44.0,1244.0,19.899183360445612,1.0,19.899183360445612,2,19.899183360445612,68.0,253.89000000000001,31.200000000000003,1.2934469184289648
FAPI,11,34,68.0,0,516.0,363.0,468.0,304.0,96.0,118.0,8024.0,50.53828773057845,1.0,50.53828773057845,8,50.53828773057845,68.0,33.54,23.595000000000002,3.2849887024875994
FAPI,8,34,68.0,7,4193.0,3302.0,4108.0,3220.0,170.0,164.0,19552.0,78.88976419451053,1.0,78.88976419451053,6,78.88976419451053,68.0,272.545,214.63,5.127834672643185
FAPI,9,34,68.0,9,4408.0,2862.0,4332.0,2804.0,152.0,116.0,10840.0,58.740779414579535,1.0,58.740779414579535,7,58.740779414579535,68.0,286.52,186.03,3.8181506619476697
FAPI,12,34,68.0,11,3620.0,2918.0,3548.0,2868.0,144.0,100.0,10568.0,57.99912824508917,1.0,57.99912824508917,9,57.99912824508917,68.0,235.3,189.67000000000002,3.769943335930796
FAPI,13,34,68.0,17,4660.0,3038.0,4616.0,2826.0,88.0,424.0,24700.0,88.66935315394846,1.0,88.66935315394846,10,88.66935315394846,68.0,302.90000000000003,197.47,5.76350795500665
FAPI,13,35,70.0,15,4659.0,3038.0,4614.0,2826.0,90.0,424.0,24956.0,89.1276697754557,1.0,89.1276697754557,10,89.1276697754557,70.0,302.83500000000004,197.47,5.793298535404621
FAPI,5,35,70.0,2,4421.0,167.0,4234.0,6.0,374.0,322.0,89192.0,168.49538678701165,1.0,168.49538678701165,5,168.49538678701165,70.0,287.365,10.855,10.952200141155759
FAPI,8,35,70.0,5,4194.0,3303.0,4108.0,3218.0,172.0,170.0,20820.0,81.40768901244232,1.0,81.40768901244232,6,81.40768901244232,70.0,272.61,214.695,5.2914997858087505
FAPI,5,39,78.0,3,4414.0,172.0,4200.0,0.0,428.0,344.0,112192.0,188.97572000321057,1.0,188.97572000321057,11,188.97572000321057,78.0,286.91,11.18,12.283421800208687
FAPI,23,39,78.0,17,4593.0,3331.0,4482.0,3242.0,222.0,178.0,29872.0,97.51180913141852,1.0,97.51180913141852,12,97.51180913141852,78.0,298.545,216.51500000000001,6.338267593542204
FAPI,30,41,82.0,38,4405.0,3310.0,4106.0,3196.0,598.0,228.0,80996.0,160.56720568454293,1.0,160.56720568454293,13,160.56720568454293,82.0,286.325,215.15,10.43686836949529
