track_id_norm,row_class_norm,fit_status_norm,qc_pass_norm,primary_failure_mode,all_failure_modes_joined,tau_ms_norm,tau_lower_ms_norm,tau_upper_ms_norm,tau_lb_ratio,tau_ub_ratio,r2_norm,n_points_fit_norm,n_points_total_norm,fit_t_start_ms_norm,fit_t_end_ms_norm,fit_window_ms_norm,fit_window_over_tau,t0_ms_norm,R0_px_norm,Rinf_px_norm,model_name_norm
113,fit_ok_qc_fail,ok,0,unspecified,,11.210828569108076,,,,,0.9939950115691571,160,160,,,,,,,,
114,fit_ok_qc_fail,ok,0,unspecified,,15.707833965060413,,,,,0.9648621387368732,160,160,,,,,,,,
115,fit_ok_qc_fail,ok,0,unspecified,,8.05281597152311,,,,,0.8597912887359134,35,35,,,,,,,,
116,fit_ok_qc_fail,ok,0,unspecified,,7.5494774824031,,,,,0.827152202969283,60,60,,,,,,,,
117,fit_ok_qc_fail,ok,0,unspecified,,1.6512603719232786,,,,,0.6188911502075405,79,79,,,,,,,,
118,fit_ok_qc_fail,ok,0,unspecified,,29.57958331329756,,,,,0.9909569491689744,160,160,,,,,,,,
119,fit_ok_qc_fail,ok,0,unspecified,,9.28430126408001,,,,,0.5337735885697219,160,160,,,,,,,,
120,fit_ok_qc_fail,ok,0,unspecified,,13.170390131467238,,,,,0.986909860550734,159,159,,,,,,,,
121,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,5,5,,,,,,,,
122,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
123,fit_ok_qc_fail,ok,0,unspecified,,17.85697925660686,,,,,0.9289597339972464,159,159,,,,,,,,
124,fit_ok_qc_fail,ok,0,unspecified,,18.911118903269774,,,,,0.9934747378543268,159,159,,,,,,,,
125,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
126,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,8,8,,,,,,,,
127,fit_ok_qc_fail,ok,0,unspecified,,1.263976830494466,,,,,0.6541807600401335,86,86,,,,,,,,
128,fit_ok_qc_fail,ok,0,unspecified,,2.361630067479529,,,,,0.7263621533173588,75,75,,,,,,,,
129,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
130,fit_ok_qc_fail,ok,0,unspecified,,27.920736326165155,,,,,0.8349498455731715,86,86,,,,,,,,
131,fit_ok_qc_fail,ok,0,unspecified,,35.56380103360259,,,,,0.9462104443760506,158,158,,,,,,,,
132,fit_ok_qc_fail,ok,0,unspecified,,1999.9999985695683,,,,,0.6265304207238972,157,157,,,,,,,,
133,fit_ok_qc_fail,ok,0,unspecified,,1999.9999998914232,,,,,0.7535150652284608,158,158,,,,,,,,
134,fit_ok_qc_fail,ok,0,unspecified,,1999.9999999996896,,,,,0.6434962183130114,158,158,,,,,,,,
136,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
137,fit_ok_qc_fail,ok,0,unspecified,,10.38351738879311,,,,,0.9541029438998504,158,158,,,,,,,,
138,fit_ok_qc_fail,ok,0,unspecified,,37.13804020616452,,,,,0.9611920261197816,157,157,,,,,,,,
139,fit_ok_qc_fail,ok,0,unspecified,,1999.9999738669956,,,,,0.0921550864374287,86,86,,,,,,,,
140,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,5,5,,,,,,,,
141,fit_ok_qc_fail,ok,0,unspecified,,1.0000000000000002,,,,,0.2276182277126339,6,6,,,,,,,,
142,fit_ok_qc_fail,ok,0,unspecified,,2.1131672079730626,,,,,0.3848183470047708,6,6,,,,,,,,
143,fit_ok_qc_fail,ok,0,unspecified,,1999.7409825125,,,,,0.2007141241091655,87,87,,,,,,,,
144,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
145,fit_ok_qc_fail,ok,0,unspecified,,17.302938926447876,,,,,0.9747979853447368,156,156,,,,,,,,
146,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,5,5,,,,,,,,
147,fit_ok_qc_fail,ok,0,unspecified,,1.0000000000002394,,,,,0.9869137782531424,91,91,,,,,,,,
148,fit_ok_qc_fail,ok,0,unspecified,,4.552176567074182,,,,,0.8951949515347972,84,84,,,,,,,,
149,fit_ok_qc_fail,ok,0,unspecified,,8.533672543077017,,,,,0.6336166369036933,86,86,,,,,,,,
150,fit_ok_qc_fail,ok,0,unspecified,,1.0000000000000002,,,,,0.9925694451208148,82,82,,,,,,,,
152,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
153,fit_ok_qc_fail,ok,0,unspecified,,18.99215072520367,,,,,0.9657023672132892,155,155,,,,,,,,
154,fit_ok_qc_fail,ok,0,unspecified,,1.0000000000000002,,,,,0.165804712493668,54,54,,,,,,,,
155,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
156,fit_ok_qc_fail,ok,0,unspecified,,1.0000000000000333,,,,,0.4627915953458649,30,30,,,,,,,,
157,fit_ok_qc_fail,ok,0,unspecified,,3.759737563036472,,,,,0.9948631255229078,154,154,,,,,,,,
158,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
159,fit_ok_qc_fail,ok,0,unspecified,,4.317880574790868,,,,,0.9694794507742212,7,7,,,,,,,,
161,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
162,fit_ok_qc_fail,ok,0,unspecified,,5.014232225703911,,,,,0.9978191518666728,155,155,,,,,,,,
163,fit_ok_qc_fail,ok,0,unspecified,,1999.999071487904,,,,,0.8227301699992424,154,154,,,,,,,,
164,fit_ok_qc_fail,ok,0,unspecified,,2.912945552797896,,,,,0.9985469350067212,150,150,,,,,,,,
165,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,3,3,,,,,,,,
166,fit_ok_qc_fail,ok,0,unspecified,,30.83811388119257,,,,,0.9891479101926924,154,154,,,,,,,,
168,fit_ok_qc_fail,ok,0,unspecified,,1.0000000000000002,,,,,0.9789332704824352,24,24,,,,,,,,
169,fit_ok_qc_fail,ok,0,unspecified,,31.096522630496573,,,,,0.2636442357017421,23,23,,,,,,,,
170,fit_ok_qc_fail,ok,0,unspecified,,38.24577235201671,,,,,0.9322283204059186,153,153,,,,,,,,
171,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
172,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
173,fit_ok_qc_fail,ok,0,unspecified,,862.8670754830339,,,,,0.0043779798834807,79,79,,,,,,,,
175,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,4,4,,,,,,,,
176,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
177,fit_ok_qc_fail,ok,0,unspecified,,1999.9999999950344,,,,,0.0367524435644593,78,78,,,,,,,,
179,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,49,49,,,,,,,,
180,fit_ok_qc_fail,ok,0,unspecified,,6.962171232007685,,,,,0.1539098168939096,79,79,,,,,,,,
181,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,16,16,,,,,,,,
182,fit_ok_qc_fail,ok,0,unspecified,,2.944407485974601,,,,,0.9161016973513598,65,65,,,,,,,,
183,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,5,5,,,,,,,,
184,fit_ok_qc_fail,ok,0,unspecified,,25.1180916064795,,,,,0.0259012448682559,81,81,,,,,,,,
185,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,4,4,,,,,,,,
186,fit_ok_qc_fail,ok,0,unspecified,,184.6815594328444,,,,,0.3243587419099943,13,13,,,,,,,,
187,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,31,31,,,,,,,,
188,fit_ok_qc_fail,ok,0,unspecified,,21.4352121860449,,,,,0.5918270614162667,150,150,,,,,,,,
189,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,2,2,,,,,,,,
190,fit_fail,insufficient_growth_dynamic,0,fit_status:insufficient_growth_dynamic,,,,,,,,16,16,,,,,,,,
192,fit_ok_qc_fail,ok,0,unspecified,,1718.1187964112617,,,,,0.5815495402722805,92,92,,,,,,,,
193,fit_ok_qc_fail,ok,0,unspecified,,9.963810221450368,,,,,0.9416667112246582,151,151,,,,,,,,
194,fit_ok_qc_fail,ok,0,unspecified,,379.0279220813141,,,,,0.0850355089398118,61,61,,,,,,,,
195,fit_ok_qc_fail,ok,0,unspecified,,236.0061937031929,,,,,0.0078642980258551,16,16,,,,,,,,
196,fit_ok_qc_fail,ok,0,unspecified,,6.136031669857815,,,,,0.650135614108549,68,68,,,,,,,,
197,fit_ok_qc_fail,ok,0,unspecified,,45.37424210574477,,,,,0.0954791553486545,79,79,,,,,,,,
198,fit_ok_qc_fail,ok,0,unspecified,,29.73226254572896,,,,,0.9057248897452984,151,151,,,,,,,,
199,fit_ok_qc_fail,ok,0,unspecified,,30.532333795152987,,,,,0.0049258701145793,35,35,,,,,,,,
200,fit_ok_qc_fail,ok,0,unspecified,,123.58799576924594,,,,,0.007642734643294,72,72,,,,,,,,
201,fit_ok_qc_fail,ok,0,unspecified,,1999.9999999898944,,,,,0.0533191998464196,81,81,,,,,,,,
202,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
203,fit_ok_qc_fail,ok,0,unspecified,,462.4874062334382,,,,,0.010896818536823,76,76,,,,,,,,
204,fit_fail,too_few_points,0,fit_status:too_few_points,,,,,,,,1,1,,,,,,,,
205,fit_ok_qc_fail,ok,0,unspecified,,6.796989245093951,,,,,0.3489105686382328,76,76,,,,,,,,
