dataset,t_s,active_count,sum_area_um2,mean_R_um
FAPI-TEMPO,0.0,15,3282.1828000000005,8.174449225328408
FAPI-TEMPO,0.0,15,3294.7057000000004,8.186709712841173
FAPI-TEMPO,0.0,16,3297.8998,7.82200946888129
FAPI-TEMPO,0.0,16,3312.3831000000005,7.8377324247386
FAPI-TEMPO,0.0,17,3532.9957000000004,7.867053512636567
FAPI-TEMPO,0.0,17,3535.1589000000004,7.867754797575345
FAPI-TEMPO,0.0,16,3505.8543000000004,8.183638329700681
FAPI-TEMPO,0.0,135,43415.11980000001,9.9662611821962
FAPI-TEMPO,0.0,16,3304.4570000000003,7.825964438706021
FAPI-TEMPO,0.0,17,3526.8948000000005,7.859934861646001
FAPI-TEMPO,0.0,16,3320.4782000000005,7.844715603239094
FAPI-TEMPO,0.0,15,3307.1610000000005,8.198035593748275
FAPI-TEMPO,0.0,17,3304.6767000000004,7.440973411583909
FAPI-TEMPO,0.0,17,3522.7543000000005,7.854035849795938
FAPI-TEMPO,0.0,15,3287.8612000000003,8.177401052650033
FAPI-TEMPO,0.0,16,3496.9480000000003,8.174648403839328
FAPI-TEMPO,0.0,17,3525.8639000000003,7.856863787086199
FAPI-TEMPO,0.0,17,3232.4292000000005,7.361859057672778
FAPI-TEMPO,0.0,16,3495.4270000000006,8.173373978515356
FAPI-TEMPO,0.0,139,44537.3136,9.93845715814353
