dataset,track_id,tau_ms,fit_r2,fit_nrmse_range,fit_window_over_tau,n_points,tau_source_status,fit_status
FAPI-TEMPO,69,44.07037553834947,0.9603792548218334,0.0432984759286751,0.6807293932381945,19.0,qc_fail,
FAPI-TEMPO,608,44.69129567449568,0.9815254450413012,0.0388485553357377,1.0740346475878193,43.0,qc_fail,
FAPI-TEMPO,672,45.664351763626605,0.9593116291189584,0.0617467197498662,1.1387438558017586,68.0,qc_fail,
FAPI-TEMPO,597,45.97872498170525,0.9043283556575528,0.0673918949049314,2.044423807693716,72.0,ok,
FAPI-TEMPO,580,46.75241243728776,0.9732661328637264,0.049455879102286,1.069463529118812,74.0,qc_fail,
FAPI-TEMPO,641,46.97889041206737,0.8623851577575206,0.123215346659303,2.852344932471621,71.0,ok,
FAPI-TEMPO,573,48.00559500846232,0.940129943300828,0.0841408310438387,2.7080176795451423,74.0,ok,
FAPI-TEMPO,685,48.145776775986434,0.9436856514098764,0.0621699574388727,0.9969721793738068,66.0,qc_fail,
FAPI-TEMPO,620,48.228525170109215,0.6604627428522882,0.1197015104314821,2.197869406665913,72.0,qc_fail,
FAPI-TEMPO,552,49.40834538927544,0.9487771702113256,0.0488988509837438,2.712092439935987,75.0,ok,
FAPI-TEMPO,611,51.02901608160857,0.8882075603580679,0.1004885034561653,1.0582214619549015,72.0,qc_fail,
FAPI-TEMPO,305,58.11532819020593,0.1087324493441711,0.2440396681692063,0.3097289572397787,12.0,qc_fail,
FAPI-TEMPO,520,58.48704173846382,0.4395684961212455,0.2254294454936893,0.7864990027312023,79.0,qc_fail,
FAPI-TEMPO,647,59.06966617263721,0.9262337953927948,0.0758053765415479,1.76063293968937,71.0,ok,
FAPI-TEMPO,650,59.64442821276305,0.4328894407832747,0.1651547656596521,1.3748140850221644,71.0,qc_fail,
FAPI-TEMPO,718,64.00502551192781,0.971225044826573,0.0470094000802651,1.0624165752004535,51.0,qc_fail,
FAPI-TEMPO,629,65.05873719321117,0.5509445374690957,0.1763189464104803,0.7992777333745444,44.0,qc_fail,
FAPI-TEMPO,765,65.4150453257317,0.9548369335164072,0.0583835754651784,1.0700902162711603,58.0,qc_fail,
FAPI-TEMPO,753,65.85525358976287,0.77108796201693,0.1127374515086339,0.6985015999870153,61.0,qc_fail,
FAPI-TEMPO,627,68.53732258684182,0.604067352617713,0.2206444228013092,0.8170730616014928,50.0,qc_fail,
FAPI-TEMPO,715,71.24022488020685,0.6582770532832702,0.245337410802623,1.0948870547666008,64.0,qc_fail,
FAPI-TEMPO,130,79.60918116982913,0.6986111420779345,0.1001048288978239,2.0851866274804984,86.0,qc_fail,
FAPI-TEMPO,824,80.20053336620948,0.9565344396795056,0.0608806834956791,1.0224370906060418,44.0,qc_fail,
FAPI-TEMPO,767,86.08974852158168,0.8880043265441437,0.0837114830554876,0.9292627911434188,44.0,qc_fail,
FAPI-TEMPO,471,87.20065196507494,0.0709887423664343,0.2602140009262143,0.4357765583589847,20.0,qc_fail,
FAPI-TEMPO,658,99.57413467568216,0.7653320653762905,0.1813553051627422,1.225217777662442,70.0,qc_fail,
FAPI-TEMPO,812,104.1185670105966,0.8813416414495938,0.0844940364259242,0.8259814024452278,47.0,qc_fail,
FAPI-TEMPO,109,114.20073760618584,0.7391148576112245,0.105734337800075,2.0840495866211324,161.0,ok,
