pair_id,metric,delta
349,"Full entropy (raw_reconstructed, mask)",-0.31198359675599185
350,"Full entropy (raw_reconstructed, mask)",0.033297830837626385
351,"Full entropy (raw_reconstructed, mask)",0.21364185630549226
352,"Full entropy (raw_reconstructed, mask)",0.23548329501506604
353,"Full entropy (raw_reconstructed, mask)",0.20999151964156848
355,"Full entropy (raw_reconstructed, mask)",0.08497585548635733
356,"Full entropy (raw_reconstructed, mask)",-0.0168578768744041
357,"Full entropy (raw_reconstructed, mask)",0.1229900250586109
358,"Full entropy (raw_reconstructed, mask)",0.1917284830126551
359,"Full entropy (raw_reconstructed, mask)",-0.018731680392133576
361,"Full entropy (raw_reconstructed, mask)",0.17855405790308065
362,"Full entropy (raw_reconstructed, mask)",0.04953816227176855
364,"Full entropy (raw_reconstructed, mask)",-0.08558384918131168
365,"Full entropy (raw_reconstructed, mask)",0.1327178661094388
367,"Full entropy (raw_reconstructed, mask)",-0.012162442976109133
368,"Full entropy (raw_reconstructed, mask)",-0.19110296202924815
370,"Full entropy (raw_reconstructed, mask)",-0.27422990161164673
371,"Full entropy (raw_reconstructed, mask)",-0.340176187696831
372,"Full entropy (raw_reconstructed, mask)",-0.0019833066365766427
373,"Full entropy (raw_reconstructed, mask)",-0.1612378519994051
374,"Full entropy (raw_reconstructed, mask)",-0.20401025540531048
375,"Full entropy (raw_reconstructed, mask)",0.060871037553229534
376,"Full entropy (raw_reconstructed, mask)",0.19596636607255125
377,"Full entropy (raw_reconstructed, mask)",-0.00171722989478873
378,"Full entropy (raw_reconstructed, mask)",-0.03716562779568733
379,"Full entropy (raw_reconstructed, mask)",0.0505072697053377
380,"Full entropy (raw_reconstructed, mask)",-0.039665035276427396
381,"Full entropy (raw_reconstructed, mask)",-0.14947056068877185
386,"Full entropy (raw_reconstructed, mask)",-0.04346319525656739
387,"Full entropy (raw_reconstructed, mask)",0.06439440950670416
388,"Full entropy (raw_reconstructed, mask)",0.07325133713506382
389,"Full entropy (raw_reconstructed, mask)",0.010603400393060625
390,"Full entropy (raw_reconstructed, mask)",-0.20056191906935705
391,"Full entropy (raw_reconstructed, mask)",-0.07719944405246881
392,"Full entropy (raw_reconstructed, mask)",0.08578686296936944
393,"Full entropy (raw_reconstructed, mask)",-0.003931355808511228
394,"Full entropy (raw_reconstructed, mask)",0.021131869275565762
395,"Full entropy (raw_reconstructed, mask)",0.18510852475072248
396,"Full entropy (raw_reconstructed, mask)",0.09716531703186781
397,"Full entropy (raw_reconstructed, mask)",0.004194520175601291
398,"Full entropy (raw_reconstructed, mask)",0.0050292973958647735
399,"Full entropy (raw_reconstructed, mask)",0.0388178166123998
400,"Full entropy (raw_reconstructed, mask)",0.12486336962890121
401,"Full entropy (raw_reconstructed, mask)",0.009004276994422966
402,"Full entropy (raw_reconstructed, mask)",-0.176827538770703
403,"Full entropy (raw_reconstructed, mask)",-0.1836876067916089
404,"Full entropy (raw_reconstructed, mask)",0.1484932370265719
405,"Full entropy (raw_reconstructed, mask)",0.08603738508746872
406,"Full entropy (raw_reconstructed, mask)",0.04598719269883755
407,"Full entropy (raw_reconstructed, mask)",0.0336645864738081
408,"Full entropy (raw_reconstructed, mask)",0.1647110840686974
409,"Full entropy (raw_reconstructed, mask)",-0.012414579016896354
410,"Full entropy (raw_reconstructed, mask)",-0.21451590272563692
411,"Full entropy (raw_reconstructed, mask)",0.012979474620698817
413,"Full entropy (raw_reconstructed, mask)",0.10108914419418902
414,"Full entropy (raw_reconstructed, mask)",0.04944850642038823
415,"Full entropy (raw_reconstructed, mask)",0.023266899845481248
416,"Full entropy (raw_reconstructed, mask)",0.006521951398087644
417,"Full entropy (raw_reconstructed, mask)",0.1803668326442569
418,"Full entropy (raw_reconstructed, mask)",0.2192063779390434
419,"Full entropy (raw_reconstructed, mask)",-0.20778242157455828
420,"Full entropy (raw_reconstructed, mask)",-0.18791924972270557
421,"Full entropy (raw_reconstructed, mask)",0.05430200922519468
422,"Full entropy (raw_reconstructed, mask)",0.14709660259867796
425,"Full entropy (raw_reconstructed, mask)",0.03263906439969233
426,"Full entropy (raw_reconstructed, mask)",0.0296009139530522
427,"Full entropy (raw_reconstructed, mask)",-0.11034671122510353
428,"Full entropy (raw_reconstructed, mask)",-0.019144057266275105
429,"Full entropy (raw_reconstructed, mask)",0.18504905979667452
430,"Full entropy (raw_reconstructed, mask)",0.2063891078995752
432,"Full entropy (raw_reconstructed, mask)",0.26718844142816955
433,"Full entropy (raw_reconstructed, mask)",0.22983134766707636
434,"Full entropy (raw_reconstructed, mask)",0.22730340536113225
435,"Full entropy (raw_reconstructed, mask)",0.23049812818591686
436,"Full entropy (raw_reconstructed, mask)",0.23662374852366597
