group,sample_id,pair_id,json_path,heatmap_path,heatmap_norm01_path,heatmap_min_before,heatmap_max_before,n_grains_used,entropy_inner_raw,entropy_inner_norm01,entropy_middle_raw,entropy_middle_norm01,entropy_outer_raw,entropy_outer_norm01,full_entropy_raw_reconstructed_mask
FAPI-TEMPO,FAPI_TEMPO_1018,1018,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1018.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1018_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1018_heatmap_norm01.png,19.0,221.0,291,0.6650635003886458,0.1918967627773909,1.4360723472023904,0.4143628907333324,1.4469189829363256,0.4174925682500679,5.5203575920658645
FAPI-TEMPO,FAPI_TEMPO_1019,1019,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1019.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1019_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1019_heatmap_norm01.png,18.0,210.0,268,0.5597467061479693,0.1615087594227214,1.7661027430846574,0.509589533829726,2.012784601252537,0.5807668725209412,5.496834085213785
FAPI-TEMPO,FAPI_TEMPO_102,102,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_102.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_102_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_102_heatmap_norm01.png,18.0,213.0,376,0.710974207692564,0.2051437927276043,1.7519190374463485,0.5054969814725626,2.0957278879908525,0.6046992462114209,5.697139077678912
FAPI-TEMPO,FAPI_TEMPO_1020,1020,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1020.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1020_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1020_heatmap_norm01.png,18.0,215.0,273,0.5468519922342627,0.1577881314593241,1.4294628930725517,0.4124558053941121,1.4644831649290202,0.4225605199016942,5.428415161766901
FAPI-TEMPO,FAPI_TEMPO_1021,1021,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1021.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1021_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1021_heatmap_norm01.png,19.0,220.0,240,0.631730943968791,0.1822790200079757,1.1246589103745532,0.3245079665377907,1.2447240805772493,0.3591514516647743,5.525197036504616
FAPI-TEMPO,FAPI_TEMPO_1022,1022,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1022.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1022_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1022_heatmap_norm01.png,18.0,210.0,272,0.488167084813654,0.1408552464771761,1.4852009805353428,0.428538417868353,2.136724014301689,0.6165282278362811,5.4558467711070655
FAPI-TEMPO,FAPI_TEMPO_1023,1023,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1023.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1023_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1023_heatmap_norm01.png,19.0,208.0,302,0.6931471805599453,0.1999999999999999,1.7292192803018092,0.4989472160602005,2.093211881720597,0.6039732802576323,5.519116670989828
FAPI-TEMPO,FAPI_TEMPO_1024,1024,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1024.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1024_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1024_heatmap_norm01.png,18.0,221.0,332,0.6931471805599453,0.1999999999999999,1.285541002000893,0.3709287256892235,2.0285500238050256,0.5853158119077397,5.52394595314482
FAPI-TEMPO,FAPI_TEMPO_1025,1025,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1025.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1025_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1025_heatmap_norm01.png,19.0,207.0,385,0.9598551155088144,0.2769556430232939,1.641371899673299,0.4735998199826332,2.054312179780644,0.5927491988414664,5.502731717097563
FAPI-TEMPO,FAPI_TEMPO_1026,1026,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1026.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1026_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1026_heatmap_norm01.png,18.0,221.0,364,0.7003268240078281,0.2020716071995222,1.76406281993166,0.5090009364264012,1.4805887042267665,0.4272075962368343,5.504639473334983
