label,json_file,grain_index,area_px,perimeter_px,circularity,nuc_x,nuc_y,centroid_x,centroid_y,R_mean_px,R_mean_um,A_polar,A_std,file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI,FAPI_0.json,10,11698.0,504.0,0.5787092287366685,1829.095913831424,206.1962728671568,1829.095913831424,206.1962728671568,60.48374746974324,27.490863067688075,0.638569094625227,0.1858046349668487,FAPI_0_10,2416.9421,22.3465,196.0739,9.4406,0.209982,0.076425,0,0.0,0.0,5.164667,0.01309,0.510295,0.063787
FAPI,FAPI_0.json,11,22462.0,751.0,0.5004704189172283,1236.9764491140593,550.2797168551331,1236.9764491140593,550.2797168551331,84.64160604907048,38.47100913990494,0.5698972099157814,0.1460298183977411,FAPI_0_11,4640.9091,30.9656,281.6419,11.3146,0.264778,0.059276,0,0.0,0.0,5.479043,0.009485,0.358292,0.044787
FAPI,FAPI_0.json,12,47222.0,1026.0,0.5637149067246416,1097.642666553725,711.9332302740248,1097.642666553725,711.9332302740248,123.04583097644633,55.926364220661554,0.3679065647853052,0.1043092337430227,FAPI_0_12,9756.6116,44.898,388.0813,13.2816,0.185927,0.055847,0,0.0,0.0,5.539915,0.006556,0.475171,0.059396
FAPI,FAPI_0.json,13,3179.0,276.0,0.524423600386576,1776.3636363636365,873.4183705567789,1776.3636363636365,873.4183705567789,31.27278701086023,14.213998659567222,0.7702297549999335,0.1912542613490799,FAPI_0_13,656.8182,11.6493,102.8219,6.8365,0.219301,0.104734,0,0.0,0.0,5.145412,0.025082,0.544912,0.068114
FAPI,FAPI_0.json,14,21565.0,717.0,0.5271339832181889,1506.2306051472292,366.6217945745421,1506.2306051472292,366.6217945745421,82.58869090878436,37.53792527238464,0.5912667768374493,0.1615173536905739,FAPI_0_14,4455.5785,30.341,270.9802,11.0983,0.237502,0.062674,0,0.0,0.0,5.267342,0.009653,0.398533,0.049817
FAPI,FAPI_0.json,15,26177.0,764.0,0.5635637105138293,344.05657638384844,811.854719792184,344.05657638384844,811.854719792184,91.07728091225668,41.39612975185973,0.5665976716244622,0.1523727072707583,FAPI_0_15,5408.4711,33.4283,294.5519,11.571,0.216641,0.061736,0,0.0,0.0,5.351023,0.00877,0.326933,0.040867
FAPI,FAPI_0.json,16,10634.0,460.0,0.6315254494947801,1420.1236599586232,102.5368628926086,1420.1236599586232,102.5368628926086,58.06118583419844,26.3897687575329,0.5353013544168121,0.1252666311979785,FAPI_0_16,2197.1074,21.3061,186.9908,9.2193,0.210375,0.078238,0,0.0,0.0,5.410099,0.013774,0.229504,0.028688
FAPI,FAPI_0.json,17,23593.0,722.0,0.5687463683991375,1575.4518713177638,534.2260840079684,1575.4518713177638,534.2260840079684,86.06598671354757,39.11841369801356,0.6020605980933961,0.1896556601796137,FAPI_0_17,4874.5868,31.7356,281.8514,11.3188,0.228906,0.062135,0,0.0,0.0,5.221588,0.00921,0.274872,0.034359
FAPI,FAPI_0.json,18,18807.0,658.0,0.5458553878480727,634.0096240761419,276.6195565480938,634.0096240761419,276.6195565480938,77.12909945143204,35.05645070378795,0.6335210027608585,0.1626932587767391,FAPI_0_18,3885.7438,28.3344,251.9617,10.7018,0.230843,0.065578,0,0.0,0.0,5.575276,0.010383,0.326371,0.040796
FAPI,FAPI_0.json,19,4765.0,354.0,0.4778221135164021,1852.18740818468,548.9695697796433,1852.18740818468,548.9695697796433,37.60430022572221,17.09177608048679,1.1054294472366877,0.305800659668362,FAPI_0_19,984.5041,14.2622,134.0162,7.8049,0.311168,0.080851,0,0.0,0.0,5.290121,0.020508,0.305801,0.038225
FAPI,FAPI_0.json,20,30166.0,858.0,0.5149357153470677,1362.5083206258705,336.9084399655241,1362.5083206258705,336.9084399655241,97.80298598616776,44.45307388901058,0.8163957712207448,0.1804778052267566,FAPI_0_20,6232.6446,35.885,333.2852,12.3083,0.294901,0.052237,2,54.3388,9.7885,5.572825,0.008205,0.325773,0.040722
