t_ms,X_area_frac,X_JMAK,k_fit,n_fit
387.0,0.2994748469698038,0.31992514306009223,0.00192721463763989,3.25
388.0,0.301060331853733,0.3221299450555455,0.00192721463763989,3.25
389.0,0.3027361525200895,0.3243403593729214,0.00192721463763989,3.25
390.0,0.30441905354032767,0.3265563253459436,0.00192721463763989,3.25
391.0,0.3061057585514084,0.3287777818145322,0.00192721463763989,3.25
392.0,0.3077998142183177,0.33100466712864784,0.00192721463763989,3.25
393.0,0.3095011413869035,0.333236919152205,0.00192721463763989,3.25
394.0,0.3112089098868209,0.3354744752670562,0.00192721463763989,3.25
395.0,0.31292727546078153,0.3377172723770455,0.00192721463763989,3.25
396.0,0.3146525163663937,0.33996524691213126,0.00192721463763989,3.25
397.0,0.3163905604810688,0.34221833483257824,0.00192721463763989,3.25
398.0,0.318140149124027,0.34447647163321915,0.00192721463763989,3.25
399.0,0.31989706766106896,0.34673959234778506,0.00192721463763989,3.25
400.0,0.3216630900235842,0.3490076315533034,0.00192721463763989,3.25
401.0,0.3235408333313203,0.3512805233745653,0.00192721463763989,3.25
402.0,0.32521387861154794,0.35355820148866046,0.00192721463763989,3.25
403.0,0.3269984057774825,0.3558405991295799,0.00192721463763989,3.25
404.0,0.3287903818182692,0.3581276490928853,0.00192721463763989,3.25
405.0,0.3305909122968201,0.3604192837404463,0.00192721463763989,3.25
406.0,0.332400651208097,0.36271543500524406,0.00192721463763989,3.25
407.0,0.334221850802149,0.3650160343962412,0.00192721463763989,3.25
408.0,0.3360502046139824,0.3673210130033173,0.00192721463763989,3.25
409.0,0.33788392024623265,0.36963030150227094,0.00192721463763989,3.25
410.0,0.3397242049743982,0.3719438301598854,0.00192721463763989,3.25
411.0,0.3415691815574458,0.3742615288390604,0.00192721463763989,3.25
412.0,0.343422383584455,0.3765833270040073,0.00192721463763989,3.25
413.0,0.3452924529320764,0.37890915372550926,0.00192721463763989,3.25
414.0,0.3471710960817816,0.38123893768624306,0.00192721463763989,3.25
415.0,0.3490583989752162,0.38357260718616537,0.00192721463763989,3.25
416.0,0.35095071483186513,0.3859100901479612,0.00192721463763989,3.25
417.0,0.3528516413227315,0.3882513141225532,0.00192721463763989,3.25
418.0,0.3547593936364733,0.3905962062946742,0.00192721463763989,3.25
419.0,0.3566724580622236,0.39294469348849925,0.00192721463763989,3.25
420.0,0.3585916202523553,0.39529670217333823,0.00192721463763989,3.25
421.0,0.36052074837945086,0.39765215846938906,0.00192721463763989,3.25
422.0,0.36245759208996686,0.4000109881535495,0.00192721463763989,3.25
423.0,0.36439996052074364,0.40237311666528774,0.00192721463763989,3.25
424.0,0.3663523129551949,0.40473846911257094,0.00192721463763989,3.25
425.0,0.3683115440152283,0.4071069702778518,0.00192721463763989,3.25
426.0,0.3702800006763538,0.4094785446241114,0.00192721463763989,3.25
427.0,0.37239569913269205,0.4118531163009582,0.00192721463763989,3.25
428.0,0.3742390342402896,0.41423060915078425,0.00192721463763989,3.25
429.0,0.3762301718100262,0.4166109467149728,0.00192721463763989,3.25
430.0,0.37822766926117274,0.41899405224016417,0.00192721463763989,3.25
431.0,0.3802378128108709,0.42137984868457234,0.00192721463763989,3.25
432.0,0.3822555523643246,0.423768258724356,0.00192721463763989,3.25
433.0,0.38428170900861497,0.42615920476004043,0.00192721463763989,3.25
434.0,0.3863191472656313,0.4285526089229923,0.00192721463763989,3.25
435.0,0.38836801536225385,0.43094839308194344,0.00192721463763989,3.25
436.0,0.3904248797251163,0.43334647884956645,0.00192721463763989,3.25
437.0,0.392490765565185,0.4357467875890976,0.00192721463763989,3.25
438.0,0.39456311030421587,0.438149240421009,0.00192721463763989,3.25
439.0,0.3966473507245022,0.4405537582297291,0.00192721463763989,3.25
440.0,0.3987447249447115,0.4429602616704085,0.00192721463763989,3.25
441.0,0.4008527724984499,0.4453686711757322,0.00192721463763989,3.25
442.0,0.40297172975019707,0.447778906962778,0.00192721463763989,3.25
443.0,0.4051045540507973,0.4501908890399179,0.00192721463763989,3.25
444.0,0.40725153007571313,0.4526045372137635,0.00192721463763989,3.25
445.0,0.40940602165262324,0.45501977109615377,0.00192721463763989,3.25
446.0,0.41157800260396205,0.45743651011118536,0.00192721463763989,3.25
447.0,0.4137338767334086,0.4598546735022824,0.00192721463763989,3.25
448.0,0.4159089688521725,0.462274180339307,0.00192721463763989,3.25
449.0,0.4180958853835101,0.464694949525709,0.00192721463763989,3.25
450.0,0.42029892560565774,0.4671168998057129,0.00192721463763989,3.25
451.0,0.42259706183913,0.469539949771543,0.00192721463763989,3.25
452.0,0.42468894145026276,0.4719640178706842,0.00192721463763989,3.25
453.0,0.42697035376555875,0.47438902241317726,0.00192721463763989,3.25
454.0,0.42921031226283096,0.4768148815789506,0.00192721463763989,3.25
455.0,0.4314584303254512,0.4792415134251826,0.00192721463763989,3.25
456.0,0.43372150462999914,0.48166883589369835,0.00192721463763989,3.25
457.0,0.43599212183614755,0.4840967668183971,0.00192721463763989,3.25
458.0,0.43827800072143097,0.4865252239327089,0.00192721463763989,3.25
459.0,0.44057341383912857,0.4889541248770828,0.00192721463763989,3.25
460.0,0.4429936048435876,0.49138338720650065,0.00192721463763989,3.25
461.0,0.445198918077529,0.49381292839802093,0.00192721463763989,3.25
462.0,0.44756800015427584,0.49624266585834587,0.00192721463763989,3.25
463.0,0.44987645164772305,0.49867251693141623,0.00192721463763989,3.25
464.0,0.45223283841659045,0.5011023989060284,0.00192721463763989,3.25
465.0,0.45459676060085213,0.5035322290234753,0.00192721463763989,3.25
466.0,0.4569715435732429,0.5059619244852089,0.00192721463763989,3.25
467.0,0.45935905778730246,0.5083914024605237,0.00192721463763989,3.25
468.0,0.46175997031389926,0.5108205800942597,0.00192721463763989,3.25
469.0,0.46417135993561004,0.5132493745145239,0.00192721463763989,3.25
470.0,0.4666017649199938,0.5156777028404296,0.00192721463763989,3.25
471.0,0.4690439623758059,0.5181054821898521,0.00192721463763989,3.25
472.0,0.4714975033303139,0.5205326296871986,0.00192721463763989,3.25
473.0,0.47396341838455336,0.522959062471194,0.00192721463763989,3.25
474.0,0.4764461917759577,0.525384697702677,0.00192721463763989,3.25
475.0,0.4789411900420526,0.5278094525724116,0.00192721463763989,3.25
476.0,0.4814544233087001,0.5302332443089052,0.00192721463763989,3.25
477.0,0.48398239052686337,0.5326559901862387,0.00192721463763989,3.25
478.0,0.4865201043860606,0.5350776075319046,0.00192721463763989,3.25
479.0,0.4890675224644576,0.5374980137346514,0.00192721463763989,3.25
480.0,0.49162213887934375,0.5399171262523341,0.00192721463763989,3.25
481.0,0.49419314948661897,0.5423348626197699,0.00192721463763989,3.25
482.0,0.49678547222458846,0.5447511404565968,0.00192721463763989,3.25
483.0,0.4993882504973988,0.5471658774751348,0.00192721463763989,3.25
484.0,0.5020053557715627,0.5495789914882481,0.00192721463763989,3.25
485.0,0.5046298266739673,0.551990400417208,0.00192721463763989,3.25
486.0,0.5072700647241409,0.5544000222995523,0.00192721463763989,3.25
487.0,0.5099204364022943,0.5568077752969445,0.00192721463763989,3.25
488.0,0.5125812065204898,0.5592135777030278,0.00192721463763989,3.25
489.0,0.5152520103507683,0.5616173479512752,0.00192721463763989,3.25
490.0,0.5179299506315657,0.5640190046228317,0.00192721463763989,3.25
491.0,0.520615714696415,0.5664184664543509,0.00192721463763989,3.25
492.0,0.523311709909555,0.5688156523458217,0.00192721463763989,3.25
493.0,0.5260301922882937,0.5712104813683849,0.00192721463763989,3.25
494.0,0.5287595606088137,0.57360287277214,0.00192721463763989,3.25
495.0,0.5314963274968811,0.5759927459939377,0.00192721463763989,3.25
496.0,0.5342497948130736,0.5783800206651604,0.00192721463763989,3.25
497.0,0.5370278406413912,0.5807646166194862,0.00192721463763989,3.25
498.0,0.539821689950531,0.5831464539006381,0.00192721463763989,3.25
499.0,0.542630560980948,0.5855254527701155,0.00192721463763989,3.25
500.0,0.545449845024555,0.5879015337149056,0.00192721463763989,3.25
501.0,0.5482852809071064,0.5902746174551767,0.00192721463763989,3.25
502.0,0.551142896322095,0.5926446249519499,0.00192721463763989,3.25
503.0,0.5540259952816142,0.5950114774147472,0.00192721463763989,3.25
504.0,0.5569281425431131,0.5973750963092178,0.00192721463763989,3.25
505.0,0.5598380246525357,0.5997354033647373,0.00192721463763989,3.25
506.0,0.5627636000458278,0.6020923205819828,0.00192721463763989,3.25
507.0,0.5657110816751273,0.6044457702404791,0.00192721463763989,3.25
508.0,0.5688706803950514,0.6067956749061167,0.00192721463763989,3.25
509.0,0.5716657578079785,0.6091419574386409,0.00192721463763989,3.25
510.0,0.5746789161227308,0.611484540999107,0.00192721463763989,3.25
511.0,0.5777154249123652,0.613823349057307,0.00192721463763989,3.25
512.0,0.5807697325062788,0.6161583053991585,0.00192721463763989,3.25
513.0,0.5838306204753247,0.6184893341340625,0.00192721463763989,3.25
514.0,0.5869044246452374,0.620816359702222,0.00192721463763989,3.25
515.0,0.5900018593739548,0.6231393068819262,0.00192721463763989,3.25
516.0,0.5931154800787168,0.6254581007967928,0.00192721463763989,3.25
517.0,0.5962408622121053,0.6277726669229737,0.00192721463763989,3.25
518.0,0.599216020677953,0.6300829310963183,0.00192721463763989,3.25
519.0,0.602545799660462,0.6323888195194936,0.00192721463763989,3.25
