file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI_TEMPO_15_132,879.3388,13.4789,127.5612,7.6146,0.320907,0.081741,0,0.0,0.0,5.403781,0.02173,0.338941,0.042368
FAPI_TEMPO_15_133,812.8099,12.959,119.3415,7.3652,0.28284,0.089255,0,0.0,0.0,5.514757,0.022632,0.50953,0.063691
FAPI_TEMPO_15_134,554.3388,10.702,103.0235,6.8432,0.343685,0.088105,0,0.0,0.0,5.666395,0.027488,0.347951,0.043494
FAPI_TEMPO_15_135,404.5455,9.1424,82.3161,6.1169,0.249747,0.112784,0,0.0,0.0,5.535352,0.032105,0.435522,0.05444
FAPI_TEMPO_16_0,2753.3058,23.8509,204.5141,9.6416,0.172786,0.078325,0,0.0,0.0,5.474264,0.012303,0.205503,0.025688
FAPI_TEMPO_16_1,2240.2893,21.5144,199.2155,9.5159,0.290639,0.06811,0,0.0,0.0,5.74858,0.013684,0.227366,0.028421
FAPI_TEMPO_16_2,2801.0331,24.0567,208.8468,9.7432,0.193002,0.075615,2,53.9256,4.8212,5.765766,0.012247,0.171226,0.021403
FAPI_TEMPO_16_3,2324.1736,21.9135,193.3577,9.375,0.218812,0.076109,0,0.0,0.0,5.607787,0.013415,0.270503,0.033813
FAPI_TEMPO_16_4,822.9339,13.0395,116.5953,7.28,0.239301,0.095754,0,0.0,0.0,5.7159,0.022567,0.322758,0.040345
FAPI_TEMPO_16_5,720.6612,12.2023,105.6595,6.9302,0.188807,0.107294,0,0.0,0.0,5.649353,0.024083,0.499554,0.062444
FAPI_TEMPO_16_6,2440.4959,22.4552,201.1975,9.5631,0.242395,0.072356,1,20.6612,0.0,5.729152,0.013113,0.185183,0.023148
FAPI_TEMPO_16_7,3495.2479,26.873,227.6258,10.1718,0.152295,0.076042,0,0.0,0.0,5.778226,0.010967,0.361159,0.045145
FAPI_TEMPO_16_8,1726.4463,18.8866,159.1588,8.5056,0.14355,0.092017,0,0.0,0.0,5.64729,0.015566,0.21412,0.026765
FAPI_TEMPO_16_9,2899.5868,24.4763,208.4089,9.733,0.161094,0.078676,1,18.1818,0.0,5.709844,0.012029,0.223215,0.027902
FAPI_TEMPO_16_10,472.1074,9.8764,84.6211,6.2019,0.171499,0.122673,1,23.1405,0.0,5.591383,0.029731,0.132972,0.016621
FAPI_TEMPO_16_11,2170.6612,21.1774,180.8588,9.0669,0.166084,0.084007,3,65.2893,3.203,5.546206,0.013858,0.220923,0.027615
FAPI_TEMPO_16_12,2195.2479,21.297,194.6244,9.4056,0.271719,0.070745,0,0.0,0.0,5.728357,0.013831,0.501246,0.062656
FAPI_TEMPO_16_13,1150.6198,15.4185,135.7162,7.8542,0.214985,0.091469,0,0.0,0.0,5.531581,0.019048,0.661383,0.082673
FAPI_TEMPO_16_14,1800.2066,19.2858,178.9839,9.0198,0.293838,0.071574,1,16.5289,0.0,5.435119,0.015228,0.288252,0.036031
FAPI_TEMPO_16_15,2663.6364,23.4593,220.6304,10.0143,0.312371,0.062715,3,66.9421,4.2993,5.588767,0.012525,0.248464,0.031058
FAPI_TEMPO_16_16,2322.314,21.9047,195.1112,9.4174,0.233405,0.074354,0,0.0,0.0,5.48388,0.013401,0.294507,0.036813
FAPI_TEMPO_16_17,2387.8099,22.2115,209.9497,9.7689,0.319264,0.063665,0,0.0,0.0,5.811152,0.013269,0.570882,0.07136
FAPI_TEMPO_16_18,1054.9587,14.7637,126.8805,7.5943,0.176515,0.099249,0,0.0,0.0,5.469647,0.019862,0.143653,0.017957
FAPI_TEMPO_16_19,3716.5289,27.7106,253.449,10.7333,0.272947,0.061818,2,42.3554,1.0227,5.479231,0.010586,0.263913,0.032989
FAPI_TEMPO_16_20,11579.5455,48.9129,428.7508,13.9602,0.208426,0.051656,2,43.3884,2.0454,5.512128,0.006003,0.128051,0.016006
FAPI_TEMPO_16_21,1785.5372,19.2071,178.5805,9.0096,0.296425,0.071395,0,0.0,0.0,5.565523,0.015305,0.224899,0.028112
FAPI_TEMPO_16_22,1174.3802,15.5769,140.6004,7.9943,0.253473,0.085468,1,20.2479,0.0,5.749177,0.018886,0.278167,0.034771
FAPI_TEMPO_16_23,579.7521,10.9446,90.186,6.4026,0.104276,0.1283,0,0.0,0.0,5.501906,0.026832,0.199988,0.024998
FAPI_TEMPO_16_24,3033.6777,25.0358,222.4375,10.0552,0.229517,0.069949,1,24.1736,0.0,5.723828,0.011762,0.333861,0.041733
FAPI_TEMPO_16_25,1646.4876,18.4441,165.7162,8.679,0.246578,0.079368,1,32.6446,0.0,5.613726,0.015924,0.141181,0.017648
FAPI_TEMPO_16_26,2835.3306,24.2036,216.5261,9.9207,0.240036,0.069941,0,0.0,0.0,5.516479,0.012138,0.205983,0.025748
FAPI_TEMPO_16_27,1412.6033,17.0839,147.7817,8.1959,0.187191,0.090691,1,16.7355,0.0,5.598012,0.017207,0.224842,0.028105
FAPI_TEMPO_16_28,1445.6612,17.2827,154.347,8.376,0.23743,0.083266,1,22.9339,0.0,5.629992,0.017002,0.276375,0.034547
